modality	gene	caller_method	records	complete	partial	missing
rnaseq	A	Caller:ArcasHLA	107	107	0	0
rnaseq	B	Caller:ArcasHLA	107	107	0	0
rnaseq	C	Caller:ArcasHLA	107	107	0	0
rnaseq	A	Caller:HLA-HD	105	105	0	0
rnaseq	B	Caller:HLA-HD	105	105	0	0
rnaseq	C	Caller:HLA-HD	105	105	0	0
rnaseq	A	Caller:OptiType	105	105	0	0
rnaseq	B	Caller:OptiType	105	105	0	0
rnaseq	C	Caller:OptiType	105	105	0	0
rnaseq	A	Caller:T1K	105	105	0	0
rnaseq	B	Caller:T1K	105	105	0	0
rnaseq	C	Caller:T1K	105	105	0	0
wes	A	Caller:HLA-HD	130	130	0	0
wes	B	Caller:HLA-HD	130	130	0	0
wes	C	Caller:HLA-HD	130	130	0	0
wes	A	Caller:OptiType	130	130	0	0
wes	B	Caller:OptiType	130	130	0	0
wes	C	Caller:OptiType	130	130	0	0
wes	A	Caller:POLYSOLVER	130	130	0	0
wes	B	Caller:POLYSOLVER	130	130	0	0
wes	C	Caller:POLYSOLVER	130	130	0	0
wes	A	Caller:SpecHLA	130	130	0	0
wes	B	Caller:SpecHLA	130	130	0	0
wes	C	Caller:SpecHLA	130	130	0	0
wes	A	Caller:T1K	130	130	0	0
wes	B	Caller:T1K	130	130	0	0
wes	C	Caller:T1K	130	130	0	0
wgs	A	Caller:HLA-HD	127	113	0	14
wgs	B	Caller:HLA-HD	127	126	0	1
wgs	C	Caller:HLA-HD	127	99	0	28
wgs	A	Caller:Kourami	88	88	0	0
wgs	B	Caller:Kourami	86	86	0	0
wgs	C	Caller:Kourami	71	71	0	0
wgs	A	Caller:OptiType	136	134	0	2
wgs	B	Caller:OptiType	136	136	0	0
wgs	C	Caller:OptiType	136	134	0	2
wgs	A	Caller:SpecHLA	105	83	0	22
wgs	B	Caller:SpecHLA	105	101	0	4
wgs	C	Caller:SpecHLA	105	84	0	21
wgs	A	Caller:T1K	126	126	0	0
wgs	B	Caller:T1K	126	126	0	0
wgs	C	Caller:T1K	126	126	0	0
