modality	reference_method	comparator	loci	reference_correct	comparator_correct	comparator_minus_reference_points	simultaneous_ci_lo_points	simultaneous_ci_hi_points	wins	losses	missing_prediction_rows	comparison_valid	p_value	holm_adjusted_p	holm_significant	holm_significant_superiority	reference_noninferior_2pp
rnaseq	SimplePluralityLex	BestSingleTool_nestedCV	321	306	291	-4.672897196261682	-9.345794392523365	-1.2461059190031152	0	15	0	1	0.001953125	0.015625	1	0	1
rnaseq	SimplePluralityLex	Caller:ArcasHLA	321	306	295	-3.426791277258567	-7.165109034267912	-0.6230529595015576	2	13	0	1	0.0113525390625	0.0794677734375	0	0	1
rnaseq	SimplePluralityLex	Caller:HLA-HD	321	306	297	-2.803738317757009	-7.78816199376947	0.0	0	9	0	1	0.125	0.625	0	0	1
rnaseq	SimplePluralityLex	Caller:OptiType	321	306	296	-3.115264797507788	-7.78816199376947	0.0	0	10	0	1	0.03125	0.1875	0	0	1
rnaseq	SimplePluralityLex	Caller:T1K	321	306	277	-9.034267912772586	-15.264797507788161	-4.049844236760125	1	30	0	1	1.3113021850585938e-06	1.1801719665527344e-05	1	0	1
rnaseq	SimplePluralityLex	ChampionChallenger	321	306	304	-0.6230529595015576	-3.115264797507788	1.2461059190031152	1	3	0	1	0.75	1.0	0	0	1
rnaseq	SimplePluralityLex	MVFlooredCC	321	306	306	0.0	0.0	0.0	0	0	0	1	1.0	1.0	0	0	1
rnaseq	SimplePluralityLex	MetaConsensus	321	306	305	-0.3115264797507788	-1.557632398753894	0.0	0	1	0	1	1.0	1.0	0	0	1
rnaseq	SimplePluralityLex	TwoThirdsGuardedCC	321	306	304	-0.6230529595015576	-2.803738317757009	0.9345794392523363	1	3	0	1	0.75	1.0	0	0	1
wes	SimplePluralityLex	BestSingleTool_nestedCV	390	365	360	-1.2820512820512822	-3.8461538461538463	0.7692307692307693	3	8	0	1	0.234375	1.0	0	0	1
wes	SimplePluralityLex	Caller:HLA-HD	390	365	305	-15.384615384615385	-21.28205128205128	-10.256410256410255	3	63	0	1	3.872457909892546e-13	3.4852121189032914e-12	1	0	1
wes	SimplePluralityLex	Caller:OptiType	390	365	360	-1.2820512820512822	-3.8461538461538463	1.0256410256410255	3	8	0	1	0.234375	1.0	0	0	1
wes	SimplePluralityLex	Caller:POLYSOLVER	390	365	357	-2.051282051282051	-4.615384615384616	0.0	3	11	0	1	0.021484375	0.150390625	0	0	1
wes	SimplePluralityLex	Caller:SpecHLA	390	365	306	-15.128205128205128	-20.76923076923077	-10.256410256410255	1	60	0	1	7.283063041541027e-14	7.283063041541027e-13	1	0	1
wes	SimplePluralityLex	Caller:T1K	390	365	324	-10.512820512820513	-16.153846153846153	-5.641025641025641	6	47	0	1	2.1330833988031372e-08	1.7064667190425098e-07	1	0	1
wes	SimplePluralityLex	ChampionChallenger	390	365	365	0.0	-1.282051282051282	1.5384615384615385	2	2	0	1	1.0	1.0	0	0	1
wes	SimplePluralityLex	MVFlooredCC	390	365	365	0.0	0.0	0.0	0	0	0	1	1.0	1.0	0	0	1
wes	SimplePluralityLex	MetaConsensus	390	365	364	-0.2564102564102564	-1.7948717948717947	1.5384615384615385	2	3	0	1	1.0	1.0	0	0	1
wes	SimplePluralityLex	TwoThirdsGuardedCC	390	365	365	0.0	-1.5384615384615385	1.282051282051282	2	2	0	1	1.0	1.0	0	0	1
wgs	SimplePluralityLex	BestSingleTool_nestedCV	411	164	203	9.489051094890511	4.37956204379562	14.841849148418493	55	16	0	1	7.103556582092538e-06	2.841422632837015e-05	1	1	0
wgs	SimplePluralityLex	Caller:HLA-HD	411	164	99	-15.815085158150852	-21.897810218978105	-10.46228710462287	11	76	0	1	6.6895898542806975e-12	4.682712897996488e-11	1	0	1
wgs	SimplePluralityLex	Caller:Kourami	411	164	39	-30.413625304136254	-37.95620437956204	-23.844282238442823	0	125	0	1	6.462348535570529e-27	5.816113682013476e-26	1	0	1
wgs	SimplePluralityLex	Caller:OptiType	411	164	203	9.489051094890511	4.37956204379562	14.5985401459854	55	16	0	1	7.103556582092538e-06	2.841422632837015e-05	1	1	0
wgs	SimplePluralityLex	Caller:SpecHLA	411	164	52	-27.25060827250608	-34.306569343065696	-21.16788321167883	2	114	0	1	9.564275832644382e-23	7.651420666115506e-22	1	0	1
wgs	SimplePluralityLex	Caller:T1K	411	164	124	-9.732360097323602	-16.78832116788321	-4.13625304136253	23	63	0	1	1.9822911169871393e-05	3.959282731358371e-05	1	0	1
wgs	SimplePluralityLex	ChampionChallenger	411	164	206	10.218978102189782	5.35279805352798	15.328467153284672	57	15	0	1	7.685384347047575e-07	3.842692173523787e-06	1	1	0
wgs	SimplePluralityLex	MVFlooredCC	411	164	199	8.51581508515815	3.64963503649635	14.111922141119221	50	15	0	1	1.9796413656791856e-05	3.959282731358371e-05	1	1	0
wgs	SimplePluralityLex	MetaConsensus	411	164	0	-39.90267639902677	-46.47201946472019	-33.09002433090024	0	164	0	1	4.930380657631324e-32	4.930380657631324e-31	1	0	1
wgs	SimplePluralityLex	TwoThirdsGuardedCC	411	164	205	9.975669099756692	5.59610705596107	14.841849148418493	53	12	0	1	3.485158173166525e-07	2.091094903899915e-06	1	1	0
