result_id	cohort	modality	method	evidence_role	analysis_status	validity	subjects	loci	correct	accuracy	source_artifact_path	source_artifact_sha256
DEV_WES_CONSENSUS	1000G-development	wes	SimplePluralityLex	development	discovery	valid	130	390	365	0.935897	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_RNA_CONSENSUS	1000G-development	rnaseq	SimplePluralityLex	development	discovery	valid	107	321	306	0.953271	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_WGS_CONSENSUS	1000G-development	wgs	SimplePluralityLex	invalid	discovery	invalid	137	411	164	0.399027	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_TT_WES_BASE	1000G-development	wes	SimpleTwoThirdsConsensus	development	discovery	valid	130	390	328	0.841026	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_TT_WES_GCC	1000G-development	wes	TwoThirdsGuardedCC	development	discovery	valid	130	390	369	0.946154	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_TT_RNA_BASE	1000G-development	rnaseq	SimpleTwoThirdsConsensus	development	discovery	valid	107	321	296	0.922118	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_TT_RNA_GCC	1000G-development	rnaseq	TwoThirdsGuardedCC	development	discovery	valid	107	321	306	0.953271	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_WGS_LEGACY_BASE	1000G-development	wgs	SimpleTwoThirdsConsensus	invalid	discovery	invalid	137	411	79	0.192214	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
DEV_WGS_LEGACY_GCC	1000G-development	wgs	TwoThirdsGuardedCC	invalid	discovery	invalid	137	411	205	0.498783	artifacts/source_results/primary_modality_results.tsv	edfaf9bcda5f4207a68692275a587eb7c43fcee1eeae512821693d91189793e7
META_WGS_INTERNAL	1000G-development	wgs	MetaConsensus	invalid	discovery	invalid	137	411	220	0.535280	artifacts/source_results/metaconsensus_decision_gate.json	82cb41137cecac94b2c4538a44135f6d235208d004d714a70464a5ce8f874699
META_NCI60_WES	NCI-60	wes	MetaConsensus	exploratory	secondary_external	valid	42	82	67	0.817073	artifacts/source_results/publication_assessment.json	73f256c7f7e4c9e5a6e5d7d4a2835b93845955723d324eef515ff37b042263e7
META_NCI60_RNA	NCI-60	rnaseq	MetaConsensus	exploratory	secondary_external	valid	42	82	65	0.792683	artifacts/source_results/publication_assessment.json	73f256c7f7e4c9e5a6e5d7d4a2835b93845955723d324eef515ff37b042263e7
REFFORMER_GATE	1000G-development	all	RefFormer	exploratory	discovery	valid					artifacts/source_results/publication_assessment.json	73f256c7f7e4c9e5a6e5d7d4a2835b93845955723d324eef515ff37b042263e7
EGCC_GATE	1000G-development	wes+rnaseq	EvidenceGatedCC	exploratory	discovery	valid					artifacts/source_results/final_internal_decision.json	64ec94e43fd3b88a032e4fefbdcc3b8318547dd63f12dad4334e0238deecae53
