cohort	sample_id	donor_id	modality	input_type	input_uri	index_uri	index_checksum	source_checksum	reference_build	read_layout	independence_stratum	evidence_role
NCI60	SRR6756019	DU-145	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_2.fastq.gz			md5:dba0435c85816b6feb6c434c5ae347e6;md5:81a033959c846704e9c80136390cb1a4	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6756001	EKVX	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_2.fastq.gz			md5:89b75098cb49dbcf7ba1b8a7b3c5dba0;md5:6243a2a47011b669f8f0adab359bd0b3	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6756015	HL-60	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_2.fastq.gz			md5:f0749c1107234195c22304f1c22de98c;md5:7ccf296015eb857813094c3781e723ac	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755973	LOX-IMVI	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_2.fastq.gz			md5:a149f2b2e4963963aec2c13f43da8833;md5:a805042220b70c04d57d9827f463a43c	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755995	NCI-H23	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_2.fastq.gz			md5:2e5cbd235ca9ec1c63de9e758ec29a35;md5:a19b5d883bbf40d4b32809d503dc86c9	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755977	NCI-H322M	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_2.fastq.gz			md5:765def710722e847e057b83f5ff4f79a;md5:d638df54b299e501332150315835d70f	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755984	OVCAR-8	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_2.fastq.gz			md5:4e7a87e433bbcb075a8e68138314c5f1;md5:62bdb8c1c5648d5615dec118ced4efeb	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755967	RPMI-8226	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_2.fastq.gz			md5:66846feac21483b2f51206a8cd4ce74d;md5:f9642666c0c759703314e4a1db2cb301	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755965	SK-MEL-28	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_2.fastq.gz			md5:4c1db3d4901af416a8692008025c4ad5;md5:9297c5829d53e1427114d02f75fc2001	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755992	T47D	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_2.fastq.gz			md5:eab25756a9dd1174dfb1a94eeb8f1258;md5:c1f496513ddd0b2dd11353c723373cc2	GRCh37	paired	donor_independent	exploratory
NCI60	SRR6755962	TK-10	rnaseq	fastq_pair	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_2.fastq.gz			md5:494fece8c2bec628a6453ee0755c95d1;md5:912f4cfe7c4df8724699ed7571d4dbb2	GRCh37	paired	donor_independent	exploratory
