cohort	subject	population	modality
1000G-development	HG00096	GBR	rnaseq
1000G-development	HG00096	GBR	wes
1000G-development	HG00096	GBR	wgs
1000G-development	HG00097	GBR	rnaseq
1000G-development	HG00097	GBR	wes
1000G-development	HG00097	GBR	wgs
1000G-development	HG00099	GBR	rnaseq
1000G-development	HG00099	GBR	wes
1000G-development	HG00099	GBR	wgs
1000G-development	HG00100	GBR	rnaseq
1000G-development	HG00100	GBR	wes
1000G-development	HG00100	GBR	wgs
1000G-development	HG00101	GBR	rnaseq
1000G-development	HG00101	GBR	wes
1000G-development	HG00101	GBR	wgs
1000G-development	HG00102	GBR	rnaseq
1000G-development	HG00102	GBR	wes
1000G-development	HG00102	GBR	wgs
1000G-development	HG00103	GBR	rnaseq
1000G-development	HG00103	GBR	wes
1000G-development	HG00103	GBR	wgs
1000G-development	HG00104	GBR	rnaseq
1000G-development	HG00105	GBR	rnaseq
1000G-development	HG00105	GBR	wes
1000G-development	HG00105	GBR	wgs
1000G-development	HG00106	GBR	rnaseq
1000G-development	HG00106	GBR	wes
1000G-development	HG00106	GBR	wgs
1000G-development	HG00107	GBR	wgs
1000G-development	HG00108	GBR	rnaseq
1000G-development	HG00108	GBR	wes
1000G-development	HG00108	GBR	wgs
1000G-development	HG00109	GBR	rnaseq
1000G-development	HG00109	GBR	wes
1000G-development	HG00109	GBR	wgs
1000G-development	HG00110	GBR	rnaseq
1000G-development	HG00110	GBR	wes
1000G-development	HG00110	GBR	wgs
1000G-development	HG00111	GBR	rnaseq
1000G-development	HG00111	GBR	wes
1000G-development	HG00111	GBR	wgs
1000G-development	HG00112	GBR	rnaseq
1000G-development	HG00112	GBR	wes
1000G-development	HG00112	GBR	wgs
1000G-development	HG00114	GBR	rnaseq
1000G-development	HG00114	GBR	wes
1000G-development	HG00114	GBR	wgs
1000G-development	HG00115	GBR	rnaseq
1000G-development	HG00115	GBR	wes
1000G-development	HG00115	GBR	wgs
1000G-development	HG00116	GBR	rnaseq
1000G-development	HG00116	GBR	wes
1000G-development	HG00116	GBR	wgs
1000G-development	HG00171	FIN	rnaseq
1000G-development	HG00171	FIN	wes
1000G-development	HG00171	FIN	wgs
1000G-development	HG00173	FIN	rnaseq
1000G-development	HG00173	FIN	wes
1000G-development	HG00173	FIN	wgs
1000G-development	HG00174	FIN	rnaseq
1000G-development	HG00174	FIN	wes
1000G-development	HG00174	FIN	wgs
1000G-development	HG00176	FIN	rnaseq
1000G-development	HG00176	FIN	wes
1000G-development	HG00176	FIN	wgs
1000G-development	HG00177	FIN	rnaseq
1000G-development	HG00177	FIN	wes
1000G-development	HG00177	FIN	wgs
