sample_id	modality	index_uri	bytes	md5	sha256
HG00096	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240114/HG00096.final.cram.crai	1400139	3638c36cd3af7c60214fab97956d844e	36eb0e305db7aebb22b60949840d26c1244c008c8c4c49841fc70583737b3544
HG00097	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240115/HG00097.final.cram.crai	1385825	286264535132a74b2a5e0087d2d9a721	ba0171179ee6c36d1c369e23e98059784e4130f12923f8082ca3fe23652ac54a
HG00099	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240116/HG00099.final.cram.crai	1561494	dd8ea38de04df0c8604149a3cdf7ac3d	81e407fc68a99ac73377e4fa309ee066581115751771bb4bf13dd08c31e85018
HG00100	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240117/HG00100.final.cram.crai	1298681	3db32f13bd5b8a4afbd6def21a57960e	7f9f3f885015a27ee64d51cc40c4a1de81f6c9cf88121c2bc604f36004b2e266
HG00101	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240118/HG00101.final.cram.crai	1405049	915e020610e2feb1f51cf063de1e47e2	2521463818454dae27d1b5d0a04f7dc7b8d1a571cb4efa2d317844dba7c9cf32
HG00102	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240119/HG00102.final.cram.crai	1354768	e4ccbb66426abbac3020f7054123f058	1bf1053793837a0ad9c70e9153fb3947c14299dc8bddbc806ea904fad58ed28f
HG00103	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240120/HG00103.final.cram.crai	1360009	e621bf52a54c2b4bd99c836a7120d262	a6ae89f8f5024fbc311d656f9394d4c3a3c2601a19ed7bec27b3cddfd49e418d
HG00105	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240121/HG00105.final.cram.crai	1177893	1b44a87a33b1350aea5d41689e71e85c	f0b901ac677027c6dd2aa63220231c575e344731a4972c8cbf3a65b1c87bbdc0
HG00106	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240122/HG00106.final.cram.crai	1501283	9312535e9fa64d6b2dc6d91b18bfffd2	ebb70e0b88a85344873c53b94d13b819f445f2bd454702593bd5f2de09eb1e70
HG00107	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240123/HG00107.final.cram.crai	1384802	041d22421f7918f08be7360070d27431	c240ba5b0136a12bb8f7ceab4e8d8261daa9dcb5cd77d30e270eff56180ca4a7
HG00108	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240124/HG00108.final.cram.crai	1364739	729dc584726c5d06aff34d064c6fea16	b262a91704d3daa3e40e6b155679466849997b1aea7b7a71623d033d9ae486bb
HG00109	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240125/HG00109.final.cram.crai	1434830	645d8e50ea0d68e3f09cccee6eb72f7f	8686e4eaf7eef6f4f375e39293a985bfdd8dc55005143201ab3ab7e6a4e7dce0
HG00110	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240126/HG00110.final.cram.crai	1333211	07b220b0741daedaf0e72b4d466a00f0	be4d2d3973a377c141b63c6a2c1bc77cfeba48138bdf581b282534772aaeeaae
HG00111	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240127/HG00111.final.cram.crai	1327904	11def696b0eedcc5b91703b981e46e31	0ec782d866710c4ce4b42818c6bbe80eb896a3d2c547d21d556424e3827e26a6
HG00112	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240128/HG00112.final.cram.crai	1361390	220e70064af0d3141f1ca784fb9bc79a	ae49a3ba2cc69c2429983f8150b46d3825099e5867d7e7f104764e1bfe115915
HG00114	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240130/HG00114.final.cram.crai	1372677	a8c79024a145cf6bbdff900b36ba1f4f	e20cf1b65aeb7488ae7113d5dea41089fd00c4dfc40735840f0a6fda52f872c1
HG00115	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240131/HG00115.final.cram.crai	1203578	beef0452f1c7e51136839a02a0d14086	b7fd24d437d389ab3eed033c6a257fe6d7815b9a3ab823d988aef35f726a4905
HG00116	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240132/HG00116.final.cram.crai	1858314	db6f0bee9b7a76f5f026c16620628dfc	a68036772cfb2874602b0ae8bd8e2d51f912ddb82a8ca92d5647cb4b58d4cb7f
HG00171	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240160/HG00171.final.cram.crai	1404376	923ed8e2f5863d802bee627973ec06d3	c775e3c04af2a2be356aaf90a14efffe1b47290e401afbc71f34f50158231c60
HG00173	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240161/HG00173.final.cram.crai	1257460	ba705db180524dfb5a72bda36b03f043	4e68a46ebd3a8e9bc34278e334fc13a0c4ec24ff580401badf8324a85ab906a2
HG00174	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240162/HG00174.final.cram.crai	1403899	124a1f3abac7183277e08ee1009b2591	b55933a8d9b74e06f71dca2aed7b731a7ee865b9670fe1f7499b1a5ccfe91de5
HG00176	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240163/HG00176.final.cram.crai	1408034	46529aee9fdbea3ca632aa6ff107355a	a044193808d1f04c20593f8bc62052cd40d22f164f2e79a3be98f9fb055d5cd1
HG00177	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240164/HG00177.final.cram.crai	1305008	a9a6fcb3b9744263a1ea99f912907c5a	4608ec7663f689c536c48621bc3a9d8b5160e71ebbf84e2f5102ef10bccee2f9
HG00178	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240165/HG00178.final.cram.crai	1310953	a80f8bbf13615a1178a681c6b09a506e	c02a30b6bfd09c84473aa294fca46aba73e2743f549279b366d944d90932300d
HG00179	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240166/HG00179.final.cram.crai	1269231	f2dda86309ae0ddd348d48a70cf84608	de7a138fb926c85e983ede4a277fa4faf12747354345a4077dc88fed8c71f123
HG00180	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240167/HG00180.final.cram.crai	1419943	33600863ef9516d7064498443edd2fbb	128c1f7818d322b8d9b6eecec67c4e620b3b43baf672beeb1d60b789ab63d5e4
HG00181	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240168/HG00181.final.cram.crai	1344593	76c7756e326ea154f7310999194a53cd	82ce92ce22e2258fae88bce0fe0e7a5a84bfe38736c50e84f5de1f06daf08d73
HG00182	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240169/HG00182.final.cram.crai	1397573	7beecdaf76807c0ea7a34e0283753e35	5fad8934a7df71f7751312eb29c37c2a778b6bf8352da3dbeadfc0fd1fce5825
HG00183	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240170/HG00183.final.cram.crai	1311609	4e485a68e30c29027b683aff6cc337d8	54dab0820471fc4ca4d2aa1303b75e30cc7153bd14ddcea3d203a1cc2fcf7798
HG00185	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240171/HG00185.final.cram.crai	1396088	14a65cf0ef3be0f26ff27b598d847a6e	01968b93bb4d2a884eb9cd18c6d04aa8a560474b730fad1063e66043bcad8d46
HG00186	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240172/HG00186.final.cram.crai	1330312	74debfec4fc19352d535ebf8c1e33ccb	9d31c153278ba48ecbe1dc92ec7297504dbe0597d5d55fe34b6f3c71ce1bafe7
HG00187	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240173/HG00187.final.cram.crai	1368948	3f9268b80c444130ad296c673856fe29	7f1196c5cc5f23a00526d576d797b1ee5a3fc0ba96338788aff7d96e611b156e
HG00188	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240174/HG00188.final.cram.crai	1267017	45e5afab3f45134c6119f1f0bbe177b0	7348a5cc4f44b08613bcb762984f03f5e13d78c8db5d75af089c559c35b628ba
HG00189	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240175/HG00189.final.cram.crai	1203110	b8dedceb97f4be64c14b9e57b53320ab	8f8637d8f24db9a28cbe041007a2efc9dd3fae13f9b5759dadc39f0d3ed192e5
HG00266	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240223/HG00266.final.cram.crai	1338704	fb2f306865ea09e61bc53bd48384551e	9333b34932b18b4922a6e5c8636bee4a1862070d2eb27bbf4e0bf97f65f5d550
HG00551	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241804/HG00551.final.cram.crai	1858163	9262ad0fefcc193099f6984c008d29d4	454916412fa8f14c7fd205cdf029f7e3a1ace9e0947fb907d68613632a41a850
HG00553	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241695/HG00553.final.cram.crai	1432244	bac6919978e292fed03d3197d826d244	e0dea57b1ee1e769a35b5b6f9064ea082cab972dce4ea891f1a74c24d3e9db50
HG00554	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241696/HG00554.final.cram.crai	1413831	1456a497a193928400d8c3496b060f57	ca7ff75338b509adc9c245d6d2047f0a3aa19cea66dc472b601ce7e8c27ff1f3
HG00637	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241726/HG00637.final.cram.crai	1375565	cdfd1b1f777994ea61dda98ed99580d7	450827cbe0ce937bf73a7a5d63d178bf432e714c34f1050b36c32fa461b1a616
HG00638	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241727/HG00638.final.cram.crai	1465971	8ca840e181303e7b890153cd302bd92b	173913caf450c885f90efa38bb1789a228b57e3e1dba94adf5ef30a0f6140e76
HG00640	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241728/HG00640.final.cram.crai	1274263	f2aef41e022e6f720996c40b83a733a0	4c293b5eb8b6ec8f71bcfe07b2e5540d21e1c32a3e646dd4a3e492d549e909e7
HG00641	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241729/HG00641.final.cram.crai	1297546	13bad741bd0a8cf210ce82278458cf4d	ac1e0d8bd6547623a7a599b89f1a7e3156ef0879155919f9a8d21b43a2b08c77
HG00734	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241778/HG00734.final.cram.crai	1384202	ba7b4ddb196151a21f28e3b286cb1513	7a9313a85cbe9e92a35a544d8d520d742dfcc98f40a5d3e0ec3335c17601ada8
NA06984	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239458/NA06984.final.cram.crai	1368821	5a9b4a17587c464106516ad13810abe4	74e3d6d59b542a06fe916fdbaa018e4ce2ad79829b6934b5b28c5010f9628acd
NA06985	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239276/NA06985.final.cram.crai	1442655	fff7afdd053038d480cdd9e7ba80be56	55daf3c7820fb3b5a2516a60680eaf35bc993ece90c28fc599e7400720bd7c8a
NA06986	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239277/NA06986.final.cram.crai	1329494	5807306596de615e3d556bde6e52fe6b	4a857d3ea94cbf32f169a905b0588576d6dac3260733998f6180ecafa9cb1580
NA06989	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239459/NA06989.final.cram.crai	1230172	ffc4a1665caff51510dc156edbdd2ab0	838e63279c129b1cc52aca37abc91ed68ba59efcadded2c9ab607cd7972344be
NA06994	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239278/NA06994.final.cram.crai	1254914	195706a1ef34cd17cffaa78c6e3758a2	d98b9c9c7dbe3d57e130bbce8572c55da6a9ac33f9f398f68dbcc413866188a2
NA07000	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239279/NA07000.final.cram.crai	1526808	703d842672bc11f4e519578f8b0f094d	52b222372858e25a8030814fefe3e2bf1b7d3680458f9fb726a7183b9404484b
NA07037	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239280/NA07037.final.cram.crai	1426352	d0e0ec90a4a72bfad445d31ad394bfe4	33ae816abf69a20ca6afec50b3392ef9675ebcb3d2ef99d7d21e7fda9df6fb60
NA07048	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239642/NA07048.final.cram.crai	1327684	5ba3b3f1c41a8ef1965d4ed50d2dea41	09233eb2cf6016694ef806606173b0305b102505f53fd6f25a1559971a5e78fc
NA07051	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239281/NA07051.final.cram.crai	1332954	f120291f6575ed568dc9bd1a7472c9f3	2d29dd7d7a5c421f0a22dcce7046e768385cb7edc2d04665ff0663756b43d4d1
NA07056	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239456/NA07056.final.cram.crai	1306788	0aa01282a373e970c2ee50c7d72437b6	f459bff7275b740847e9cda893af46de0b269e0a3951a34542849aa6bf61462e
NA07347	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239282/NA07347.final.cram.crai	1342376	48e3dec1342a46851f68d0416e03ecc7	7ac750e2c252698a40425264378a0b079f7cbb9b45d810d30cc6317c77237531
NA07357	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239283/NA07357.final.cram.crai	1259007	658b1bc6eda5801d8ad472b50e329c74	834629f865ae88eeb0b83c9f2cd0d8527bc19c5032d6cbac5e48d11571b4458a
NA10847	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239284/NA10847.final.cram.crai	1369427	ef95aa866cfe0bfd09041a9edb191e37	fca69cfbed166447b5a6ca0c49685042264ce3515ebb008291d26bca66a83781
NA10851	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239285/NA10851.final.cram.crai	1386211	a7219d140cc3323dd88a401c22c6059f	47cc32d37bbd3ca0600c77e3cd56b7869aec0082026b1c2537befb504b7392d6
NA11829	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239286/NA11829.final.cram.crai	1496919	0f1963eabad38180013e6c9896803275	b3df4de686d415744150377e74bbe6c4cd164b306032c5baac8544dcd64a4465
NA11830	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239287/NA11830.final.cram.crai	1410703	0bb6fc53de86762464f452b54b902755	69b8fe48a5010f6c2942b3163cf26759b29ee2ff49881ccedb86fe6661726674
NA11831	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239288/NA11831.final.cram.crai	1432665	8a35ba47eb5bc82275c7c25b486d1a2d	0e48930b45aaf5fdd25c676bcba1abd9614e55a8422bc5060f62a51176cb4886
NA11832	wgs	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239289/NA11832.final.cram.crai	1353515	735ebf1e68029309920455e9db04d870	d663a4940144cf6f29e73ce4e999da5e9ed514bbe2999dd188588c56c37c20f6
