run_accession	submitted_ftp	submitted_md5	submitted_bytes
ERR188036	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188036/HG00236.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188036/HG00236.5.M_120131_5_2.fastq.gz	c230f817f6380174b33fa9ea25a96c6e;c0f068af33244b0cc18effbede4573c1	2292518386;2297917276
ERR188047	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188047/NA06994.2.M_111215_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188047/NA06994.2.M_111215_7_2.fastq.gz	27bb6c4e0d453c457c5e076573cd1b86;010a0f05279eb81bd2eead7bee777f17	3109397231;3133566489
ERR188048	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188048/NA12489.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188048/NA12489.1.M_111124_2_2.fastq.gz	0f92f024220f96af777e8283bcead238;ff5508db6f4ae09b7ac8c1fd603d907b	2350320112;2376398991
ERR188052	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188052/NA20541.1.M_111124_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188052/NA20541.1.M_111124_4_2.fastq.gz	9168e1f88ed99283c63bdd0f38b68ce0;1ee0ff6bb6d8003c34ee5e923ca60b63	2477531002;2486435270
ERR188067	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188067/NA11831.7.M_120219_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188067/NA11831.7.M_120219_2_2.fastq.gz	ce7cd02030e65cbfbfe837066a8dc169;be964ef8f06afe77ea1a5ea93bcb0740	3461353932;3492622684
ERR188082	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188082/HG00110.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188082/HG00110.2.M_120131_2_2.fastq.gz	c8112d38f046b77ae02f80557ebc078a;9dee5db3d984617fa6619099c53f4d09	3048406575;3033013862
ERR188083	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188083/HG00285.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188083/HG00285.3.M_120202_5_2.fastq.gz	efc66044351597aba40b3a03b3243640;5fdbcf93fc43a8d2c46225e443d63961	2046143528;2023681317
ERR188099	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188099/NA12843.6.M_120119_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188099/NA12843.6.M_120119_4_2.fastq.gz	1c3983a2b34a7d419e72fa915eafcb09;4a213d876e44bb84a85f14c819be7bcf	1525101228;1540425353
ERR188100	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188100/NA12762.4.M_120208_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188100/NA12762.4.M_120208_3_2.fastq.gz	7a806b2ba157272234cfee0a99329d75;5fba1a345007b11f0d46a190d89950a6	1795889870;1804929823
ERR188107	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188107/NA12342.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188107/NA12342.1.M_111124_5_2.fastq.gz	37b7b3af1547954295b51ed99a724851;72ce9ac413a4eca1ffe48be952d68bea	1979512243;2008234104
ERR188109	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188109/NA19121.3.M_120202_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188109/NA19121.3.M_120202_6_2.fastq.gz	f9cf3ffe8572e36f957cc6980aeb0014;7653122703ac67414b5443d573e26c7f	1903979149;1898673516
ERR188111	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188111/HG00255.2.M_111216_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188111/HG00255.2.M_111216_1_2.fastq.gz	03ac431ec091db3787ebae1691b8cfd1;8fd69517e15859c114ff8c8e27480479	2545694860;2562628445
ERR188112	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188112/HG00239.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188112/HG00239.7.M_120219_4_2.fastq.gz	22c5cc9ea2bbea676c456b205f538b42;31e3d428309932b87ee33307f689d4a8	3059681083;3092130050
ERR188115	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188115/HG00382.4.M_120208_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188115/HG00382.4.M_120208_4_2.fastq.gz	394ff7f37d020cb9249d14b84c0d7f79;81db6a6cfa5601086564ab582a4afc16	1938217600;1934108677
ERR188116	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188116/HG00151.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188116/HG00151.3.M_120202_4_2.fastq.gz	3990aa57a1759fa248c4fc56f408da86;6e854e505743f9c9210af62178fe168d	1188466281;1182050817
ERR188120	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188120/NA19256.6.M_120119_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188120/NA19256.6.M_120119_6_2.fastq.gz	b3e769ab81536efa1d6b648aafd638c3;068b24791d0febc3db57c89bb043fcaf	1968536402;1988450505
ERR188125	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188125/NA20826.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188125/NA20826.1.M_111124_1_2.fastq.gz	9302cfb8752732b2c32d985270215046;b0e8dc040a2a73c80fe2ec5f874318ee	2042131700;2066235178
ERR188137	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188137/NA20812.2.M_111216_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188137/NA20812.2.M_111216_6_2.fastq.gz	ce7a5517ef93bfb6165e02a694c8e0b4;be1463d5b68b872edcdc55a0a803db98	2456063621;2466234297
ERR188140	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188140/NA12716.7.M_120219_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188140/NA12716.7.M_120219_6_2.fastq.gz	edd8108b381727971a1533255693fbca;f1e23d12901ea5a05919fcf71f5b512a	4831944924;4858828297
ERR188146	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188146/HG00180.1.M_111124_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188146/HG00180.1.M_111124_8_2.fastq.gz	67f634cf23f2c6a425119d69963231fd;22a3cb61ae8c1d1624d87d7a3191a7bd	2325119084;2351972098
ERR188156	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188156/HG00335.2.M_111216_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188156/HG00335.2.M_111216_5_2.fastq.gz	277a7d32b22d369221b266d10ccbfd8a;837e3cfc813ae8a2f3d4fdf2690fade5	2488109659;2493825180
ERR188159	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188159/HG00245.4.M_120208_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188159/HG00245.4.M_120208_6_2.fastq.gz	b459c2d14d2a296570291cb19d234659;726f81c235dd8e6cce4715eed0862c5e	2138646642;2133653396
ERR188160	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188160/NA20513.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188160/NA20513.4.M_120208_1_2.fastq.gz	e9df442dfbb59c717182b4064fbdf656;539f8e447503fc13a7bc4833bc72a668	2011148427;2004062676
