sample	region	population	split	modality	tool_set
HG00096	EUR	GBR	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00097	EUR	GBR	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00099	EUR	GBR	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00100	EUR	GBR	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00101	EUR	GBR	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00106	EUR	GBR	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
HG00107	EUR	GBR	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA06985	EUR	CEU	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA06986	EUR	CEU	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA06994	EUR	CEU	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA10847	EUR	CEU	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA10851	EUR	CEU	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA12044	EUR	CEU	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA12154	EUR	CEU	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18504	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18526	EAS	CHB	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18530	EAS	CHB	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18532	EAS	CHB	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18537	EAS	CHB	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18542	EAS	CHB	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18561	EAS	CHB	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18562	EAS	CHB	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA18563	EAS	CHB	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19116	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19129	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19130	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19131	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19152	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19153	AFR	YRI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19209	AFR	YRI	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19210	AFR	YRI	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19238	AFR	YRI	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA19239	AFR	YRI	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20502	EUR	TSI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20504	EUR	TSI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20505	EUR	TSI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20506	EUR	TSI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20508	EUR	TSI	training	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20509	EUR	TSI	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20510	EUR	TSI	validation	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20521	EUR	TSI	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
NA20528	EUR	TSI	holdout	wgs	optitype,t1k,arcashla,spechla,hlahd,kourami
