dataset_id	cohort	repository	study_accession	file_accessions	assay	organism	reference_build	donor_count	library_count	read_layout	read_length	platform	library_prep	tissue	raw_data_status	access_class	estimated_size_gb	publication_url	evidence_url	independence_stratum	sample_link_status	capacity_minimum	capacity_met	audit_status	audit_notes	access_terms	tool_compatibility
AFGR_MKK_RNA	AFGR_MKK	ENCODE	AFGR search collection	Per-sample ENCSR/ENCFF accessions in sources/afgr_mkk_encode.tsv	rnaseq	Homo sapiens	GRCh38	166	166	paired	75	Illumina HiSeq 2500	poly(A)-selected bulk RNA-seq	lymphoblastoid cell line	public_resolved	mixed	0	https://pmc.ncbi.nlm.nih.gov/articles/PMC10659267/	https://www.encodeproject.org/search/?type=Experiment&searchTerm=AFGR	donor_independent	sequencing_verified_truth_mapping_unresolved	130	yes	conditional	All 166 MKK RNA experiments are accession-resolved; truth is controlled and the truth-file donor crosswalk has not been inspected. Overlap is assigned per donor in sample_crosswalk.tsv.	ENCODE sequencing is public; EGA truth requires authorized controlled access and its data-use terms.	Compatible with arcasHLA,HLA-HD,OptiType,T1K after paired FASTQ URLs/checksums are frozen.
AFGR_MKK_WGS	AFGR_MKK	unresolved	literature_only	unresolved	wgs	Homo sapiens	GRCh38	164	164	paired	150	Illumina HiSeq X Ten	PCR-free WGS	lymphoblastoid cell line	reported_but_accession_unresolved	unresolved	0	https://pmc.ncbi.nlm.nih.gov/articles/PMC10659267/	https://www.encodeproject.org/search/?type=Experiment&searchTerm=AFGR	donor_independent	literature_only	120	yes	conditional	The publication reports 164 genomes, but the audited ENCODE AFGR collection contained RNA-seq and ATAC-seq only. No resolvable public WGS run/file accession was found.	Unresolved until the official repository and applicable data-use terms are identified.	Potentially compatible with HLA-HD,Kourami,OptiType,SpecHLA,T1K; blocked pending raw format, reference, and accession verification.
NCI60_RNA	NCI60	SRA/ENA	PRJNA433861	SRR6755961-SRR6756020; exact mapping in sources/nci60_rna_ena.tsv	rnaseq	Homo sapiens	not_stated	58	60	paired	variable	Illumina HiSeq 2000	bulk RNA-seq	60 cancer cell lines	public_resolved	public	0	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433861	https://www.ebi.ac.uk/ena/browser/view/PRJNA433861	donor_independent	verified	130	no	verified	Sixty public runs were audited; 58 map to cell lines in the independent SBT truth table. Cell-line biological caveats remain mandatory.	Public ENA/SRA access; preserve repository terms and publication attribution.	Compatible with arcasHLA,HLA-HD,OptiType,T1K on paired FASTQ; reference choice must be frozen before execution.
NCI60_ORIGINAL_WES	NCI60	NCI Watson endpoint	NCI60_WES_2013	unavailable	wes	Homo sapiens	hg19	60	60	paired	100	Illumina	whole-exome capture	60 cancer cell lines	historical_endpoint_unavailable	unresolved	0	https://pmc.ncbi.nlm.nih.gov/articles/PMC4102467/	http://watson.nci.nih.gov/projects/nci60/wes/BAMS/	donor_independent	historical_claim_only	89	no	rejected	The publication's raw BAM endpoint no longer resolves; processed CellMiner calls do not substitute for raw WES input.	Historical endpoint terms are unavailable.	Incompatible until a raw BAM/FASTQ replacement and reference metadata are supplied.
CCLE_NCI60_WES_OVERLAP	NCI60_CCLE	SRA/ENA	PRJNA523380	SRR8618968,SRR8619087,SRR8619110	wes	Homo sapiens	hg19	3	3	paired	76	Illumina	whole-exome capture	cancer cell lines	public_resolved	public	20	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA523380	https://www.ebi.ac.uk/ena/browser/view/PRJNA523380	new_library_overlap	verified	89	no	verified	Only K-562, SF-295, and HS 578T overlap the SBT table, and none has complete unambiguous two-field A/B/C truth under the strict common-core rule.	Public ENA/SRA access; preserve repository terms and publication attribution.	Compatible with HLA-HD,OptiType,POLYSOLVER,SpecHLA,T1K on paired FASTQ, subject to each caller's hg19/reference configuration.
FNLCR_PBMC_RNA	FNLCR	dbGaP	phs003177.v1.p1	controlled manifest	rnaseq	Homo sapiens	GRCh38	96	96	paired	126	Illumina NovaSeq 6000	bulk RNA-seq	PBMC	controlled	controlled	0	https://pmc.ncbi.nlm.nih.gov/articles/PMC9883133/	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003177.v1.p1	donor_independent	controlled_manifest_required	130	no	conditional	Promising orthogonal Sanger cohort. Original pre-reconciliation calls and the ten reported Sanger/RNA discrepancies must be separated before scoring.	dbGaP authorization and the study's data-use limitations; authorized institutional environment only.	Compatible RNA panel after controlled paired-FASTQ layout and reference metadata are verified.
DICE_SORTED_CELL_RNA	DICE	dbGaP/SRA	phs001703.v6.p1;PRJNA494278	controlled manifest	rnaseq	Homo sapiens	GRCh38	91	2353	paired	not_audited	Illumina	bulk RNA-seq of sorted cells	sorted immune cell types	controlled	controlled	0	https://www.nature.com/articles/s41588-018-0208-1	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001703.v6.p1	donor_independent	truth_file_and_sample_mapping_unverified	130	no	conditional	Useful repeated-cell-type stress test; exact DNA HLA-call file, accession mapping, read layout, and donor relationships require controlled-manifest inspection.	dbGaP authorization and the study's data-use limitations; authorized institutional environment only.	Potentially compatible RNA panel; blocked until paired-read layout, reference, and sample mapping are verified.
TRANSPLANT_GERMLINE_WES	TRANSPLANT_WES	dbGaP/SRA	phs003394.v1.p1;PRJNA1006802	controlled manifest	wes	Homo sapiens	not_audited	0	576	paired	not_audited	Illumina	whole-exome capture	germline blood	controlled	controlled	0	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003394.v1.p1	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1006802	donor_independent	allele_level_truth_unconfirmed	89	no	conditional	Participant HLA matching is cohort-level evidence only. Unique donor count and deposited two-field A/B/C genotypes are unconfirmed, so this does not close the WES gap.	dbGaP authorization and the study's data-use limitations; authorized institutional environment only.	Potentially compatible WES panel; blocked until capture, reference, layout, unique donors, and truth are verified.
E_MTAB_197_LCL_RNA	E_MTAB_197	BioStudies/ArrayExpress	E-MTAB-197	Files listed by BioStudies study page	rnaseq	Homo sapiens	hg18	50	50	paired	37	Illumina Genome Analyzer II	mRNA-seq	CEU HapMap lymphoblastoid cell lines	public_resolved	public	0	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-197	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-197	new_library_overlap	aliases_require_champhla_crosswalk	130	no	conditional	Public overlap panel with PCR-SSOP truth; exact FASTQ URLs and CEU/HapMap overlap with existing ChampHLA subjects must be audited before use.	Public BioStudies access under repository/study terms.	Compatible RNA panel after paired FASTQ accessions, checksums, and hg18-to-runtime reference policy are frozen.
IHWG_PRJEB6763_TARGETED_MHC	IHWG_HOMOZYGOUS_LINES	ENA	PRJEB6763	Runs listed by ENA project	targeted_mhc	Homo sapiens	hg19	95	95	paired	100	Illumina HiSeq 2000	long-range PCR of the MHC	HLA-homozygous reference cell lines	public_resolved	public	0	https://pubmed.ncbi.nlm.nih.gov/28360230/	https://www.ebi.ac.uk/ena/browser/view/PRJEB6763	donor_independent	targeted_mhc_mapping_requires_review	0	no	conditional	Targeted-MHC stress set, not WES. It must not be counted toward WES capacity.	Public ENA access under repository/study terms.	Targeted-MHC stress input only; not compatible with the WES capacity contract without a separately validated adapter.
