cohort	subject	modality	gene	source	source_accession	input_type	read1_url	read2_url	access_class	independence_stratum	gate_status	exclusion_reason
AFGR_MKK_GATED_PILOT	NA21295	rnaseq	A	ENCODE	ENCSR660NVC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21295	rnaseq	B	ENCODE	ENCSR660NVC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21295	rnaseq	C	ENCODE	ENCSR660NVC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21295	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21295	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21295	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21297	rnaseq	A	ENCODE	ENCSR398IOH	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21297	rnaseq	B	ENCODE	ENCSR398IOH	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21297	rnaseq	C	ENCODE	ENCSR398IOH	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21297	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21297	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21297	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21298	rnaseq	A	ENCODE	ENCSR427TCZ	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21298	rnaseq	B	ENCODE	ENCSR427TCZ	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
