cohort	repository_sample	donor	aliases	modality	sequencing_accession	biosample_accession	experiment_accession	file_accessions	source_urls	truth_identifier	sample_link_status	existing_champhla_overlap	relatedness	independence_stratum	access_class	gate_status	exclusion_reason
AFGR_MKK	ENCBS999LUG	NA21295	GM21295	rnaseq	ENCSR660NVC	ENCBS999LUG	ENCSR660NVC	ENCFF843OQB,ENCFF813APT		NA21295	unresolved_truth_file_mapping	none	requires_coriell_family_audit	donor_independent	mixed	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK	NA21295	NA21295	GM21295	wgs						NA21295	literature_only	none	requires_coriell_family_audit	donor_independent	unresolved	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK	ENCBS299NJK	NA21297	GM21297	rnaseq	ENCSR398IOH	ENCBS299NJK	ENCSR398IOH	ENCFF248ZEB,ENCFF946BQX		NA21297	unresolved_truth_file_mapping	none	requires_coriell_family_audit	donor_independent	mixed	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK	NA21297	NA21297	GM21297	wgs						NA21297	literature_only	none	requires_coriell_family_audit	donor_independent	unresolved	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK	ENCBS286FFN	NA21298	GM21298	rnaseq	ENCSR427TCZ	ENCBS286FFN	ENCSR427TCZ	ENCFF353HVN,ENCFF511OSW		NA21298	unresolved_truth_file_mapping	none	requires_coriell_family_audit	donor_independent	mixed	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK	NA21298	NA21298	GM21298	wgs						NA21298	literature_only	none	requires_coriell_family_audit	donor_independent	unresolved	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK	ENCBS805OCZ	NA21300	GM21300	rnaseq	ENCSR929NBE	ENCBS805OCZ	ENCSR929NBE	ENCFF102DUC,ENCFF265LDS		NA21300	unresolved_truth_file_mapping	none	requires_coriell_family_audit	donor_independent	mixed	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK	NA21300	NA21300	GM21300	wgs						NA21300	literature_only	none	requires_coriell_family_audit	donor_independent	unresolved	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK	ENCBS087VPK	NA21301	GM21301	rnaseq	ENCSR223TPI	ENCBS087VPK	ENCSR223TPI	ENCFF463DHI,ENCFF011AZW		NA21301	unresolved_truth_file_mapping	none	requires_coriell_family_audit	donor_independent	mixed	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK	NA21301	NA21301	GM21301	wgs						NA21301	literature_only	none	requires_coriell_family_audit	donor_independent	unresolved	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
