donor	coriell_id	population	sex	genome_reported	transcriptome_reported	atac_seq_reported	encode_experiment	encode_biosample	encode_file_accessions	encode_status
NA21295	GM21295	MKK	Male	yes	yes	no	ENCSR660NVC	ENCBS999LUG	ENCFF843OQB,ENCFF813APT	released
NA21297	GM21297	MKK	Female	yes	yes	no	ENCSR398IOH	ENCBS299NJK	ENCFF248ZEB,ENCFF946BQX	released
NA21298	GM21298	MKK	Male	yes	yes	no	ENCSR427TCZ	ENCBS286FFN	ENCFF353HVN,ENCFF511OSW	released
NA21300	GM21300	MKK	Female	yes	yes	no	ENCSR929NBE	ENCBS805OCZ	ENCFF102DUC,ENCFF265LDS	released
NA21301	GM21301	MKK	Male	yes	yes	no	ENCSR223TPI	ENCBS087VPK	ENCFF463DHI,ENCFF011AZW	released
NA21303	GM21303	MKK	Female	yes	yes	no	ENCSR237NBV	ENCBS796GBK	ENCFF240XFO,ENCFF395KVY	released
NA21304	GM21304	MKK	Male	yes	yes	no	ENCSR095WQC	ENCBS976WAN	ENCFF131DTP,ENCFF626UWK	released
NA21306	GM21306	MKK	Female	yes	yes	no	ENCSR608WYC	ENCBS826XVQ	ENCFF896SLS,ENCFF316FUK	released
NA21307	GM21307	MKK	Male	yes	yes	no	ENCSR543HAT	ENCBS181RCM	ENCFF953YAI,ENCFF482MKE	released
NA21308	GM21308	MKK	Female	yes	yes	no	ENCSR108RIM	ENCBS686DZL	ENCFF129QRI,ENCFF897QEI	released
NA21316	GM21316	MKK	Male	yes	yes	no	ENCSR424DGE	ENCBS812PXX	ENCFF105UNZ,ENCFF062ZAB	released
NA21318	GM21318	MKK	Male	yes	yes	no	ENCSR195DEV	ENCBS292TUT	ENCFF870IVZ,ENCFF552TSX	released
NA21320	GM21320	MKK	Female	yes	yes	no	ENCSR671CAO	ENCBS063XEI	ENCFF425REO,ENCFF925ZOV	released
NA21333	GM21333	MKK	Female	yes	yes	no	ENCSR623JKQ	ENCBS395DIJ	ENCFF631UMR,ENCFF641NHK	released
NA21335	GM21335	MKK	Male	yes	yes	no	ENCSR396RWR	ENCBS000OJH	ENCFF609ROX,ENCFF260DBN	released
NA21336	GM21336	MKK	Female	yes	yes	no	ENCSR954KWV	ENCBS552ZUB	ENCFF009NYU,ENCFF819AIS	released
NA21338	GM21338	MKK	Male	yes	yes	no	ENCSR828IRM	ENCBS455DSQ	ENCFF446OBN,ENCFF427HTD	released
NA21339	GM21339	MKK	Female	yes	yes	no	ENCSR388XYJ	ENCBS963YZF	ENCFF430EFM,ENCFF210ZDK	released
NA21341	GM21341	MKK	Male	yes	yes	no	ENCSR063GUM	ENCBS582KAM	ENCFF941RKD,ENCFF690ECC	released
NA21344	GM21344	MKK	Male	yes	yes	no	ENCSR196SAS	ENCBS153LCU	ENCFF277JKI,ENCFF577NQV	released
NA21351	GM21351	MKK	Male	yes	yes	no	ENCSR006WEQ	ENCBS293QOL	ENCFF597ITA,ENCFF840BZU	released
NA21352	GM21352	MKK	Male	yes	yes	no	ENCSR028PMB	ENCBS735KPB	ENCFF255UGM,ENCFF249BSV	released
NA21353	GM21353	MKK	Female	yes	yes	no	ENCSR833FBP	ENCBS347YUC	ENCFF040XFO,ENCFF744IOY	released
NA21355	GM21355	MKK	Male	yes	yes	no	ENCSR614BQR	ENCBS331LLS	ENCFF958NQO,ENCFF796QMM	released
NA21356	GM21356	MKK	Male	yes	yes	no	ENCSR345DTP	ENCBS699IPL	ENCFF067OZX,ENCFF853ZQM	released
NA21357	GM21357	MKK	Female	yes	yes	no	ENCSR163ELK	ENCBS657RGZ	ENCFF884TIZ,ENCFF703PQN	released
NA21359	GM21359	MKK	Male	yes	yes	no	ENCSR454NRE	ENCBS391FOL	ENCFF768VSN,ENCFF314SZJ	released
NA21360	GM21360	MKK	Female	yes	yes	yes	ENCSR203HJG	ENCBS084XDW	ENCFF776IFX,ENCFF435BCM	released
NA21362	GM21362	MKK	Female	yes	yes	no	ENCSR530TPK	ENCBS823QXM	ENCFF335TWH,ENCFF857KOD	released
NA21363	GM21363	MKK	Female	yes	yes	no	ENCSR025LOD	ENCBS893HRS	ENCFF378KLF,ENCFF492PML	released
NA21364	GM21364	MKK	Female	yes	yes	no	ENCSR810GEA	ENCBS732OSU	ENCFF334DZB,ENCFF799HCP	released
NA21365	GM21365	MKK	Female	yes	yes	no	ENCSR866TNS	ENCBS117XQY	ENCFF683GSG,ENCFF062PKY	released
NA21367	GM21367	MKK	Male	yes	yes	yes	ENCSR940RSZ	ENCBS908YUU	ENCFF184JJT,ENCFF128PQK	released
NA21368	GM21368	MKK	Female	yes	yes	no	ENCSR240OYY	ENCBS030IBD	ENCFF521AQM,ENCFF199ECT	released
NA21371	GM21371	MKK	Female	yes	yes	no	ENCSR446ODD	ENCBS590WPA	ENCFF866FVI,ENCFF740TSM	released
NA21378	GM21378	MKK	Male	yes	yes	no	ENCSR899TLB	ENCBS205DMD	ENCFF329VAG,ENCFF555RMS	released
NA21379	GM21379	MKK	Female	yes	yes	no	ENCSR374DHS	ENCBS805NPH	ENCFF859UHT,ENCFF060GXF	released
NA21381	GM21381	MKK	Male	yes	yes	yes	ENCSR901WQE	ENCBS295WIH	ENCFF108EXQ,ENCFF199JIP	released
NA21382	GM21382	MKK	Female	Chromium platform (excluded)	yes	no	ENCSR568WYT	ENCBS393QDZ	ENCFF281UUO,ENCFF020TDK	released
NA21385	GM21385	MKK	Female	yes	yes	no	ENCSR860JQH	ENCBS687UOA	ENCFF817MMT,ENCFF850FVO	released
NA21387	GM21387	MKK	Male	yes	yes	no	ENCSR573PQE	ENCBS367XNG	ENCFF096XZY,ENCFF088JMV	released
NA21388	GM21388	MKK	Female	yes	yes	no	ENCSR226WFV	ENCBS060AZS	ENCFF157SAY,ENCFF805QND	released
NA21390	GM21390	MKK	Male	yes	yes	yes	ENCSR959ULL	ENCBS686KHA	ENCFF640WPD,ENCFF385JWX	released
NA21391	GM21391	MKK	Female	yes	yes	no	ENCSR518RPJ	ENCBS807VBI	ENCFF891VIA,ENCFF545CSF	released
NA21399	GM21399	MKK	Male	yes	yes	no	ENCSR638ASI	ENCBS892WSE	ENCFF019KOP,ENCFF793KRH	released
NA21400	GM21400	MKK	Female	yes	yes	no	ENCSR734RDY	ENCBS326WJD	ENCFF563CPV,ENCFF021GKG	released
NA21402	GM21402	MKK	Male	yes	yes	no	ENCSR232AIN	ENCBS826JKP	ENCFF549WQB,ENCFF353AMF	released
NA21403	GM21403	MKK	Female	yes	yes	no	ENCSR763FJK	ENCBS422NDC	ENCFF712EBU,ENCFF121JNO	released
NA21405	GM21405	MKK	Male	yes	yes	no	ENCSR286VXU	ENCBS022YVL	ENCFF072FZC,ENCFF621LBK	released
NA21408	GM21408	MKK	Male	yes	yes	no	ENCSR399IJT	ENCBS619KIP	ENCFF323CKX,ENCFF627KHB	released
NA21409	GM21409	MKK	Female	yes	yes	no	ENCSR830BZO	ENCBS329QOK	ENCFF135NKL,ENCFF415RSM	released
NA21410	GM21410	MKK	Male	yes	yes	no	ENCSR004YFS	ENCBS929HLW	ENCFF270HDF,ENCFF408LLK	released
NA21414	GM21414	MKK	Male	yes	yes	no	ENCSR456PEX	ENCBS772EWT	ENCFF978VTO,ENCFF880NVE	released
NA21415	GM21415	MKK	Female	yes	yes	no	ENCSR746MWO	ENCBS905YNJ	ENCFF839JDX,ENCFF567NUC	released
NA21417	GM21417	MKK	Male	yes	yes	no	ENCSR967LOO	ENCBS434KGI	ENCFF721OSZ,ENCFF676TKN	released
NA21418	GM21418	MKK	Female	yes	yes	no	ENCSR776FHJ	ENCBS859YTS	ENCFF856PBP,ENCFF437ZNL	released
NA21420	GM21420	MKK	Male	yes	yes	no	ENCSR328VZB	ENCBS565JOA	ENCFF198IRH,ENCFF528KGI	released
NA21421	GM21421	MKK	Female	yes	yes	no	ENCSR125SOW	ENCBS812OZP	ENCFF996HWC,ENCFF784GTK	released
NA21423	GM21423	MKK	Male	yes	yes	yes	ENCSR164PHT	ENCBS421BIV	ENCFF154KLX,ENCFF643FXH	released
NA21424	GM21424	MKK	Female	yes	yes	no	ENCSR734PKC	ENCBS930CBV	ENCFF303OVU,ENCFF488ZIJ	released
NA21435	GM21435	MKK	Male	yes	yes	no	ENCSR538PUW	ENCBS578LKM	ENCFF397YRY,ENCFF237SMD	released
NA21436	GM21436	MKK	Female	yes	yes	no	ENCSR438LON	ENCBS724YGM	ENCFF492MYL,ENCFF147KRS	released
NA21438	GM21438	MKK	Female	yes	yes	no	ENCSR194AHO	ENCBS280DNM	ENCFF949XCO,ENCFF755QJK	released
NA21440	GM21440	MKK	Male	yes	yes	no	ENCSR584IVB	ENCBS245UQG	ENCFF207PFE,ENCFF412THT	released
NA21441	GM21441	MKK	Female	yes	yes	no	ENCSR965QXB	ENCBS288HHL	ENCFF959GPO,ENCFF024KOQ	released
NA21443	GM21443	MKK	Male	yes	yes	no	ENCSR029OEU	ENCBS088KUU	ENCFF936AMG,ENCFF238FYG	released
NA21447	GM21447	MKK	Male	yes	yes	yes	ENCSR655WZX	ENCBS959QIZ	ENCFF383KEC,ENCFF754LZA	released
NA21448	GM21448	MKK	Male	yes	yes	no	ENCSR472BFR	ENCBS086COS	ENCFF910MQL,ENCFF822SFR	released
NA21449	GM21449	MKK	Female	yes	yes	no	ENCSR357YYW	ENCBS782ZJP	ENCFF804TLC,ENCFF403QOF	released
NA21450	GM21450	MKK	Male	yes	yes	no	ENCSR496IWD	ENCBS714EYJ	ENCFF353CUX,ENCFF648RLW	released
NA21451	GM21451	MKK	Female	yes	yes	no	ENCSR065DHQ	ENCBS259MSY	ENCFF517GYW,ENCFF655IWW	released
NA21453	GM21453	MKK	Male	yes	yes	no	ENCSR211VEI	ENCBS062OEI	ENCFF703QMV,ENCFF330LGZ	released
NA21454	GM21454	MKK	Female	yes	yes	no	ENCSR448VFZ	ENCBS182ABF	ENCFF881XWE,ENCFF385SZM	released
NA21456	GM21456	MKK	Male	yes	yes	no	ENCSR807DNU	ENCBS034WTI	ENCFF442OVF,ENCFF765UEJ	released
NA21457	GM21457	MKK	Female	yes	yes	no	ENCSR845YVK	ENCBS134ICN	ENCFF083ZTN,ENCFF916KRV	released
NA21458	GM21458	MKK	Male	yes	yes	no	ENCSR937CYO	ENCBS189BRP	ENCFF684NQJ,ENCFF564BIP	released
NA21473	GM21473	MKK	Female	yes	yes	no	ENCSR910GKE	ENCBS497OOE	ENCFF661NDW,ENCFF370QFD	released
NA21476	GM21476	MKK	Female	yes	yes	no	ENCSR022CXD	ENCBS441IBB	ENCFF114GVK,ENCFF704LMU	released
NA21478	GM21478	MKK	Male	yes	yes	no	ENCSR964NYB	ENCBS450GQI	ENCFF011UGE,ENCFF722PLM	released
NA21479	GM21479	MKK	Female	yes	yes	no	ENCSR913FIO	ENCBS346HFH	ENCFF958UBY,ENCFF126BZQ	released
NA21485	GM21485	MKK	Male	yes	yes	no	ENCSR725LYY	ENCBS570JBV	ENCFF827GLP,ENCFF747WXE	released
NA21486	GM21486	MKK	Female	Chromium platform (excluded)	yes	no	ENCSR863NTY	ENCBS153TET	ENCFF250QIA,ENCFF890HXO	released
NA21488	GM21488	MKK	Male	yes	yes	no	ENCSR420IZM	ENCBS720VYZ	ENCFF860XGP,ENCFF946INU	released
NA21489	GM21489	MKK	Female	yes	yes	no	ENCSR587FUD	ENCBS722FWN	ENCFF347CNQ,ENCFF921QLD	released
NA21491	GM21491	MKK	Female	yes	yes	no	ENCSR219KEH	ENCBS110CFZ	ENCFF013PCA,ENCFF825MJD	released
NA21493	GM21493	MKK	Female	yes	yes	no	ENCSR931TXM	ENCBS633JVD	ENCFF037YVL,ENCFF214HZT	released
NA21509	GM21509	MKK	Male	yes	yes	no	ENCSR397EUF	ENCBS420VHF	ENCFF296ZIT,ENCFF201TKE	released
NA21510	GM21510	MKK	Female	yes	yes	no	ENCSR330IHF	ENCBS567OTX	ENCFF025XCA,ENCFF670NKY	released
NA21512	GM21512	MKK	Male	yes	yes	no	ENCSR911SHG	ENCBS802KZR	ENCFF616DTJ,ENCFF660AAD	released
NA21513	GM21513	MKK	Female	yes	yes	no	ENCSR775CYX	ENCBS224UEZ	ENCFF364LFH,ENCFF242UUF	released
NA21515	GM21515	MKK	Male	yes	yes	yes	ENCSR106YRC	ENCBS397SLW	ENCFF259NOI,ENCFF967TIY	released
NA21517	GM21517	MKK	Female	yes	yes	no	ENCSR038YSS	ENCBS259ZHJ	ENCFF358EBT,ENCFF922ZYS	released
NA21519	GM21519	MKK	Male	yes	yes	no	ENCSR947TOB	ENCBS509NKS	ENCFF945TYZ,ENCFF518ISA	released
NA21520	GM21520	MKK	Male	yes	yes	no	ENCSR074IYA	ENCBS033FYX	ENCFF248UXU,ENCFF078FIM	released
NA21521	GM21521	MKK	Male	yes	yes	no	ENCSR159HCQ	ENCBS499XYD	ENCFF644TCN,ENCFF613PFC	released
NA21522	GM21522	MKK	Male	yes	yes	no	ENCSR061IMG	ENCBS496ZQW	ENCFF257GCQ,ENCFF354YDP	released
NA21523	GM21523	MKK	Male	yes	yes	no	ENCSR886FYI	ENCBS951CGU	ENCFF914SZN,ENCFF527IIY	released
NA21524	GM21524	MKK	Female	yes	yes	no	ENCSR011CTI	ENCBS764GAN	ENCFF292MNC,ENCFF762JDR	released
NA21526	GM21526	MKK	Female	yes	yes	yes	ENCSR667JGU	ENCBS904JUM	ENCFF282GIK,ENCFF366WAU	released
NA21528	GM21528	MKK	Male	yes	yes	yes	ENCSR126XIL	ENCBS619PSH	ENCFF884AGV,ENCFF061XPN	released
NA21529	GM21529	MKK	Female	yes	yes	yes	ENCSR961HMI	ENCBS994HTW	ENCFF989XAO,ENCFF669XSG	released
NA21573	GM21573	MKK	Male	yes	yes	no	ENCSR318HAQ	ENCBS852UFZ	ENCFF920BHF,ENCFF479FZR	released
NA21574	GM21574	MKK	Female	yes	yes	no	ENCSR635HYR	ENCBS793FDZ	ENCFF910IDI,ENCFF241GCV	released
NA21575	GM21575	MKK	Male	yes	yes	no	ENCSR192PWG	ENCBS347CBI	ENCFF186UDO,ENCFF720SBD	released
NA21576	GM21576	MKK	Female	yes	yes	yes	ENCSR732QBN	ENCBS793OSQ	ENCFF088FTQ,ENCFF297QHK	released
NA21577	GM21577	MKK	Male	yes	yes	no	ENCSR402SJR	ENCBS666RXT	ENCFF126BUN,ENCFF475XQN	released
NA21578	GM21578	MKK	Female	yes	yes	no	ENCSR923SGT	ENCBS126PYD	ENCFF574KHV,ENCFF704RLD	released
NA21580	GM21580	MKK	Female	yes	yes	no	ENCSR922VBQ	ENCBS784UAM	ENCFF666LZP,ENCFF910TJF	released
NA21582	GM21582	MKK	Male	yes	yes	no	ENCSR848SDO	ENCBS601VSG	ENCFF512CKL,ENCFF857MGZ	released
NA21583	GM21583	MKK	Male	yes	yes	no	ENCSR612PZD	ENCBS952JOV	ENCFF332NWJ,ENCFF351FTP	released
NA21584	GM21584	MKK	Male	yes	yes	no	ENCSR575WIT	ENCBS113AXS	ENCFF787IQR,ENCFF481QMH	released
NA21587	GM21587	MKK	Male	yes	yes	no	ENCSR615WDX	ENCBS351NRC	ENCFF320FZM,ENCFF178YSQ	released
NA21596	GM21596	MKK	Male	yes	yes	no	ENCSR273BGW	ENCBS951DAQ	ENCFF606OSE,ENCFF514OFE	released
NA21597	GM21597	MKK	Female	yes	yes	no	ENCSR387DCM	ENCBS809OTZ	ENCFF131LDJ,ENCFF068RAV	released
NA21599	GM21599	MKK	Male	yes	yes	no	ENCSR358ZQT	ENCBS730IYY	ENCFF395GNP,ENCFF045FJT	released
NA21600	GM21600	MKK	Female	yes	yes	no	ENCSR973GTG	ENCBS120NIZ	ENCFF255TEC,ENCFF546MYO	released
NA21611	GM21611	MKK	Female	yes	yes	no	ENCSR418YCO	ENCBS192EXU	ENCFF014ZJU,ENCFF097EGM	released
NA21613	GM21613	MKK	Female	yes	yes	no	ENCSR691LPK	ENCBS677BTS	ENCFF496HYB,ENCFF963NVN	released
NA21614	GM21614	MKK	Male	yes	yes	no	ENCSR374LLP	ENCBS338FQC	ENCFF021UOQ,ENCFF466TBY	released
NA21615	GM21615	MKK	Female	yes	yes	no	ENCSR257XFI	ENCBS092DRT	ENCFF076QIR,ENCFF725DCI	released
NA21616	GM21616	MKK	Male	yes	yes	no	ENCSR516JGC	ENCBS151HYN	ENCFF214TQW,ENCFF984MLF	released
NA21617	GM21617	MKK	Female	yes	yes	no	ENCSR272BGX	ENCBS004DPX	ENCFF839XXG,ENCFF215BKP	released
NA21619	GM21619	MKK	Male	yes	yes	yes	ENCSR669ZCF	ENCBS062HXL	ENCFF710POX,ENCFF582UBI	released
NA21620	GM21620	MKK	Female	yes	yes	no	ENCSR867IMW	ENCBS434FDH	ENCFF788DNJ,ENCFF270GOH	released
NA21622	GM21622	MKK	Female	yes	yes	no	ENCSR277HKQ	ENCBS386ARM	ENCFF770PKN,ENCFF918SBC	released
NA21631	GM21631	MKK	Male	yes	yes	no	ENCSR584DEF	ENCBS503XQP	ENCFF255OQM,ENCFF350WPQ	released
NA21632	GM21632	MKK	Female	yes	yes	no	ENCSR489ANE	ENCBS160FVB	ENCFF342OVM,ENCFF289GIS	released
NA21634	GM21634	MKK	Male	yes	yes	no	ENCSR439UXE	ENCBS951JCP	ENCFF815WHD,ENCFF808TQN	released
NA21635	GM21635	MKK	Female	yes	yes	no	ENCSR085SBJ	ENCBS417LTN	ENCFF112MKV,ENCFF578MWW	released
NA21647	GM21647	MKK	Male	yes	yes	no	ENCSR665XVN	ENCBS034AYN	ENCFF485URV,ENCFF302MYD	released
NA21649	GM21649	MKK	Male	yes	yes	no	ENCSR329BWL	ENCBS671JUB	ENCFF033LVU,ENCFF791ADI	released
NA21650	GM21650	MKK	Female	yes	yes	no	ENCSR096XEJ	ENCBS117DQK	ENCFF467CWQ,ENCFF280LJK	released
NA21678	GM21678	MKK	Male	yes	yes	no	ENCSR121IJT	ENCBS996NFE	ENCFF519BVA,ENCFF791IXF	released
NA21679	GM21679	MKK	Female	yes	yes	no	ENCSR488HDA	ENCBS848CNO	ENCFF878ZUR,ENCFF955BSS	released
NA21683	GM21683	MKK	Female	yes	yes	no	ENCSR669PMY	ENCBS133FQR	ENCFF474AVT,ENCFF511IKP	released
NA21685	GM21685	MKK	Male	yes	yes	no	ENCSR890BUJ	ENCBS822JYI	ENCFF232YLS,ENCFF260EST	released
NA21686	GM21686	MKK	Female	yes	yes	no	ENCSR567XFT	ENCBS103YCN	ENCFF113UNW,ENCFF970BBX	released
NA21689	GM21689	MKK	Male	yes	yes	no	ENCSR865CQJ	ENCBS948XEH	ENCFF565GDJ,ENCFF496IEG	released
NA21693	GM21693	MKK	Female	yes	yes	no	ENCSR939PUS	ENCBS631SZD	ENCFF832RGQ,ENCFF943VOQ	released
NA21716	GM21716	MKK	Male	yes	yes	no	ENCSR374DLH	ENCBS021YTS	ENCFF170EUY,ENCFF953UZX	released
NA21717	GM21717	MKK	Female	yes	yes	yes	ENCSR473GBY	ENCBS091CWU	ENCFF584KZG,ENCFF173LSW	released
NA21719	GM21719	MKK	Male	yes	yes	no	ENCSR022BLY	ENCBS345NEB	ENCFF718YZE,ENCFF962JPI	released
