run_accession	fastq_ftp	fastq_md5
SRR6755961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6755961/SRR6755961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6755961/SRR6755961_2.fastq.gz	e994f92aee3dc420a429e4937844d2e5;053d7926f075c5f8e276ef37b1bb7ad3
SRR6755964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755964/SRR6755964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755964/SRR6755964_2.fastq.gz	c9be95c36dc36b1b6508a99d3c416bf4;5517e0fa2baf00658fdf4feed140ecbc
SRR6755973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_2.fastq.gz	a149f2b2e4963963aec2c13f43da8833;a805042220b70c04d57d9827f463a43c
SRR6755974	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755974/SRR6755974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755974/SRR6755974_2.fastq.gz	2792895e396e23a936a358982677c8c2;cd120f5beb8a51fcc0aff5b4999988b5
SRR6755977	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_2.fastq.gz	765def710722e847e057b83f5ff4f79a;d638df54b299e501332150315835d70f
SRR6755982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755982/SRR6755982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755982/SRR6755982_2.fastq.gz	f0621ac670d41296ea33dbcba328b6f3;95362b8b1c0672e96ab6670670987aef
SRR6755989	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6755989/SRR6755989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6755989/SRR6755989_2.fastq.gz	fa3bed5879e7a4d435c455d60681929f;f35be7ec936475e6a39b5694da02bd46
SRR6755996	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/006/SRR6755996/SRR6755996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/006/SRR6755996/SRR6755996_2.fastq.gz	60867b85e051cacf2d8602565c6056ea;31461e947666eeff19a21dd4b8a15297
SRR6756009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756009/SRR6756009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756009/SRR6756009_2.fastq.gz	e7fcd040f7cbd9d6e8571cc519fd2a4b;99de3cd02c10236a71c50357fbeccb07
SRR6756013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6756013/SRR6756013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6756013/SRR6756013_2.fastq.gz	31dd86d8d3f21aeac490310ee07e9566;adc7eb0d4465a91a9108f28396ba8917
