subject	sample_title	run_accession	study_accession	sample_accession	experiment_accession	library_strategy	library_source	library_layout	instrument_platform	base_count	read_count	read1_url	read2_url
786-O	RE:786_0	SRR6756018	PRJNA433861	SAMN08519383	SRX3728567	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	31774767000	158873835	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/008/SRR6756018/SRR6756018_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/008/SRR6756018/SRR6756018_2.fastq.gz
A498	RE:A498	SRR6756017	PRJNA433861	SAMN08519384	SRX3728568	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	39118908526	193657963	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6756017/SRR6756017_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6756017/SRR6756017_2.fastq.gz
A549	LC:A549	SRR6756002	PRJNA433861	SAMN08519365	SRX3728583	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	18113954080	89673040	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6756002/SRR6756002_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6756002/SRR6756002_2.fastq.gz
ACHN	RE:ACHN	SRR6755963	PRJNA433861	SAMN08519385	SRX3728622	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	25649375816	126977108	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755963/SRR6755963_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755963/SRR6755963_2.fastq.gz
BT-549	BR:BT_549	SRR6755989	PRJNA433861	SAMN08519334	SRX3728596	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	7250096672	26762068	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6755989/SRR6755989_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6755989/SRR6755989_2.fastq.gz
CAKI-1	RE:CAKI_1	SRR6755961	PRJNA433861	SAMN08519386	SRX3728624	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	14196311944	70278772	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6755961/SRR6755961_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6755961/SRR6755961_2.fastq.gz
CCRF-CEM	LE:CCRF_CEM	SRR6756016	PRJNA433861	SAMN08519349	SRX3728569	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	21662759600	108313798	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/006/SRR6756016/SRR6756016_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/006/SRR6756016/SRR6756016_2.fastq.gz
COLO 205	CO:COLO205	SRR6756007	PRJNA433861	SAMN08519342	SRX3728578	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	21959453734	108710167	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6756007/SRR6756007_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6756007/SRR6756007_2.fastq.gz
DU-145	PR:DU_145	SRR6756019	PRJNA433861	SAMN08519382	SRX3728566	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	12012577006	59468203	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_2.fastq.gz
EKVX	LC:EKVX	SRR6756001	PRJNA433861	SAMN08519366	SRX3728584	RNA-Seq	TRANSCRIPTOMIC	PAIRED	ILLUMINA	17049450400	85247252	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_2.fastq.gz
