truth_id	cohort	method	source_material	loci	resolution	ambiguity_status	typing_date	reconciliation	rna_informed	truth_independence	circularity	accuracy_eligible	reported_subjects	usable_truth_count	access_class	source_accession	evidence_url	audit_status	audit_notes
AFGR_MKK_MISEQ	AFGR_MKK	targeted MiSeq HLA typing	genomic DNA	A,B,C,DPA1,DPB1,DQA1,DQB1,DRB1,DRB3,DRB4,DRB5	three-field G-group	higher-resolution calls preserved	2024	none reported	no	orthogonal DNA assay	orthogonal	yes	166	166	controlled	EGAD00001011379;EGAD00010002577	https://ega-archive.org/datasets/EGAD00001011379	conditional	Truth method is suitable, but usable count is provisional until the controlled file establishes the exact MKK sequencing-to-truth crosswalk and access terms.
NCI60_SBT	NCI60	sequence-based typing	cell-line genomic DNA	A,B,C,DRB1,DQB1,DPB1	mixed one-field/two-field	some one-field, ambiguous, novel, and not-resolved entries	2005	none	no	independent SBT	orthogonal	yes	58	11	public	PMC555742_Table_2	https://pmc.ncbi.nlm.nih.gov/articles/PMC555742/	verified	Twelve lines have complete two-field A/B/C calls; one is a derivative pair member, leaving 11 canonical strict-core lines. Original allele strings remain isolated from pilot_manifest.tsv.
FNLCR_SANGER_ORIGINAL	FNLCR	Sanger HLA typing	genomic DNA	A,B,C	two-field	ten reported Sanger/RNA discrepancies	2023	original Sanger calls must be retained separately	no	orthogonal DNA assay	orthogonal	yes	96	86	controlled	phs003177.v1.p1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9883133/	conditional	Usable count assumes the ten disputed subjects are excluded. Confirm from the controlled original-call file before scoring.
FNLCR_RECONCILED	FNLCR	RNA-informed reconciliation	genomic DNA plus RNA evidence	A,B,C	two-field	ten corrected calls	2023	RNA used to revise Sanger calls	yes	outcome-informed	partly_circular	no	96	0	controlled	phs003177.v1.p1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9883133/	rejected	Inventory for provenance only; exclude from RNA accuracy denominators because the evaluated modality informed reconciliation.
DICE_DNA_HLA	DICE	reported high-resolution DNA typing	genomic DNA	A,B,C and class II not yet verified	high-resolution reported	call file not inspected	2018	not_audited	no	orthogonal DNA assay	orthogonal	no	91	0	controlled	phs001703.v6.p1	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001703.v6.p1	conditional	Enable accuracy eligibility only after the exact HLA file, resolution, ambiguity representation, and donor mapping are verified.
TRANSPLANT_MATCH_STATUS	TRANSPLANT_WES	clinical HLA-matched enrollment label	clinical records	unconfirmed	unconfirmed	allele-level calls unconfirmed	not_reported	cohort-level matching only	no	unresolved	unresolved	no	0	0	controlled	phs003394.v1.p1	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003394.v1.p1	rejected	Cohort-level HLA-matched status is not sample-level allele truth and cannot enter an accuracy denominator.
E_MTAB_197_SSOP	E_MTAB_197	PCR-SSOP	genomic DNA	A,B,C	two-field reported	ambiguity representation not audited	2010	none reported	no	orthogonal DNA assay	orthogonal	yes	50	50	public	E-MTAB-197	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-197	conditional	Provisional usable count; require exact identifier and allele-file extraction plus overlap classification against existing ChampHLA subjects.
IHWG_REFERENCE_CONSENSUS	IHWG_HOMOZYGOUS_LINES	multi-laboratory reference-cell consensus	cell-line genomic DNA	A,B,C and class II	reference consensus	ambiguity and null alleles must be preserved	multiple	consensus reference typing	no	independent reference consensus	orthogonal	yes	95	95	public	PRJEB6763	https://www.ebi.ac.uk/ena/browser/view/PRJEB6763	conditional	Truth is suitable in principle; exact line-to-run mapping and targeted-MHC assay classification must pass review.
GSE120221_PCR_NGS	GSE120221	PCR and targeted NGS HLA typing	genomic DNA	A,B,C,DRB1,DQB1	two-field and selected class II	partial class II by subject	2018	none reported	no	orthogonal DNA assay	orthogonal	yes	20	20	public	GSE120221	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120221	conditional	Class I can enter the common core after sample mapping; class II remains a locus-specific exploratory denominator. A 10x adapter is still required.
NCI60_RNA_DERIVED_CALLS	NCI60	computational RNA HLA calls	RNA	A,B,C	two-field	caller dependent	multiple	computational output	yes	not independent of evaluated input	circular	no	60	0	public	various	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433861	rejected	Inventory only; computational or imputed calls are excluded from ground-truth accuracy denominators.
