modality	reference	query	gene	n_callable	n_agree	pct_agree	ci_lo	ci_hi
scRNA	arcasHLA	OptiType	A	28	27	96.4	82.3	99.4
scRNA	arcasHLA	OptiType	B	28	26	92.9	77.4	98.0
scRNA	arcasHLA	OptiType	C	28	24	85.7	68.5	94.3
BulkRNA	arcasHLA_scRNA	OptiType	A	25	18	72.0	52.4	85.7
BulkRNA	arcasHLA_scRNA	OptiType	B	25	23	92.0	75.0	97.8
BulkRNA	arcasHLA_scRNA	OptiType	C	25	24	96.0	80.5	99.3
BulkRNA	arcasHLA_scRNA	arcasHLA	A	35	35	100.0	90.1	100.0
BulkRNA	arcasHLA_scRNA	arcasHLA	B	35	35	100.0	90.1	100.0
BulkRNA	arcasHLA_scRNA	arcasHLA	C	35	35	100.0	90.1	100.0
BulkRNA	arcasHLA_scRNA	SpecHLA	A	20	13	65.0	43.3	81.9
BulkRNA	arcasHLA_scRNA	SpecHLA	B	20	17	85.0	64.0	94.8
BulkRNA	arcasHLA_scRNA	SpecHLA	C	20	19	95.0	76.4	99.1
WES	arcasHLA_scRNA	OptiType	A	25	22	88.0	70.0	95.8
WES	arcasHLA_scRNA	OptiType	B	25	24	96.0	80.5	99.3
WES	arcasHLA_scRNA	OptiType	C	25	21	84.0	65.3	93.6
WES	arcasHLA_scRNA	arcasHLA	A	35	35	100.0	90.1	100.0
WES	arcasHLA_scRNA	arcasHLA	B	35	35	100.0	90.1	100.0
WES	arcasHLA_scRNA	arcasHLA	C	35	35	100.0	90.1	100.0
WES	arcasHLA_scRNA	SpecHLA	A	1	1	100.0	20.7	100.0
WES	arcasHLA_scRNA	SpecHLA	B	3	3	100.0	43.8	100.0
WES	arcasHLA_scRNA	SpecHLA	C	4	4	100.0	51.0	100.0
