scope	mapping	N	TP	FP	TN	FN	sensitivity	sensitivity_95CI	specificity	specificity_95CI	PPV	NPV	accuracy	accuracy_95CI
consensus	strict	15	8	0	7	0	1.0	[0.676-1.000]	1.0	[0.646-1.000]	1.0	1.0	1.0	[0.796-1.000]
consensus	cross	15	8	1	6	0	1.0	[0.676-1.000]	0.8571	[0.487-0.974]	0.8889	1.0	0.9333	[0.702-0.988]
scrna_arcashla	strict	8	4	0	3	1	0.8	[0.376-0.964]	1.0	[0.439-1.000]	1.0	0.75	0.875	[0.529-0.978]
scrna_arcashla	cross	8	5	1	2	0	1.0	[0.566-1.000]	0.6667	[0.208-0.939]	0.8333	1.0	0.875	[0.529-0.978]
scrna_optitype	strict	5	3	0	2	0	1.0	[0.439-1.000]	1.0	[0.342-1.000]	1.0	1.0	1.0	[0.566-1.000]
scrna_optitype	cross	5	3	0	2	0	1.0	[0.439-1.000]	1.0	[0.342-1.000]	1.0	1.0	1.0	[0.566-1.000]
bulkrna_OptiType	strict	8	4	0	3	1	0.8	[0.376-0.964]	1.0	[0.439-1.000]	1.0	0.75	0.875	[0.529-0.978]
bulkrna_OptiType	cross	8	5	1	2	0	1.0	[0.566-1.000]	0.6667	[0.208-0.939]	0.8333	1.0	0.875	[0.529-0.978]
bulkrna_arcasHLA	strict	15	8	0	7	0	1.0	[0.676-1.000]	1.0	[0.646-1.000]	1.0	1.0	1.0	[0.796-1.000]
bulkrna_arcasHLA	cross	15	8	1	6	0	1.0	[0.676-1.000]	0.8571	[0.487-0.974]	0.8889	1.0	0.9333	[0.702-0.988]
bulkrna_SpecHLA	strict	8	2	0	4	2	0.5	[0.150-0.850]	1.0	[0.510-1.000]	1.0	0.6667	0.75	[0.409-0.928]
bulkrna_SpecHLA	cross	8	3	1	3	1	0.75	[0.301-0.954]	0.75	[0.301-0.954]	0.75	0.75	0.75	[0.409-0.928]
wes_OptiType	strict	10	5	3	2	0	1.0	[0.566-1.000]	0.4	[0.118-0.769]	0.625	1.0	0.7	[0.397-0.892]
wes_OptiType	cross	10	5	4	1	0	1.0	[0.566-1.000]	0.2	[0.036-0.625]	0.5556	1.0	0.6	[0.313-0.832]
wes_arcasHLA	strict	12	6	0	6	0	1.0	[0.610-1.000]	1.0	[0.610-1.000]	1.0	1.0	1.0	[0.757-1.000]
wes_arcasHLA	cross	12	6	1	5	0	1.0	[0.610-1.000]	0.8333	[0.436-0.970]	0.8571	1.0	0.9167	[0.646-0.985]
wes_SpecHLA	strict	10	3	0	6	1	0.75	[0.301-0.954]	1.0	[0.610-1.000]	1.0	0.8571	0.9	[0.596-0.982]
wes_SpecHLA	cross	10	3	0	6	1	0.75	[0.301-0.954]	1.0	[0.610-1.000]	1.0	0.8571	0.9	[0.596-0.982]
