sample	superpopulation	outer_fold	reserved_external
HG00096	unknown	2	0
HG00097	unknown	4	0
HG00099	unknown	4	0
HG00100	unknown	6	0
HG00101	unknown	0	0
HG00102	unknown	2	0
HG00103	unknown	8	0
HG00104	unknown	9	0
HG00105	unknown	9	0
HG00106	unknown	3	0
HG00107	unknown	7	0
HG00108	unknown	9	0
HG00109	unknown	7	0
HG00110	GBR	2	0
HG00111	GBR	4	0
HG00112	GBR	0	0
HG00114	GBR	3	0
HG00115	GBR	5	0
HG00116	GBR	1	0
HG00171	unknown	9	0
HG00173	unknown	9	0
HG00174	unknown	9	0
HG00176	unknown	1	0
HG00177	unknown	3	0
HG00178	unknown	3	0
HG00179	unknown	7	0
HG00180	unknown	8	0
HG00181	unknown	1	0
HG00182	unknown	0	0
HG00183	FIN	6	0
HG00185	FIN	3	0
HG00186	FIN	1	0
HG00187	FIN	0	0
HG00188	FIN	2	0
HG00189	FIN	4	0
HG00266	FIN	5	0
HG00551	unknown	8	0
HG00553	unknown	0	0
HG00554	unknown	2	0
HG00637	unknown	5	0
HG00638	unknown	6	0
HG00640	unknown	4	0
HG00641	unknown	7	0
HG00734	unknown	7	0
NA06984	CEU	9	0
NA06985	unknown	5	0
NA06986	unknown	2	0
NA06989	CEU	0	0
NA06994	unknown	3	0
NA07000	unknown	4	0
NA07037	unknown	1	0
NA07048	unknown	8	0
NA07051	unknown	5	0
NA07056	unknown	2	0
NA07347	unknown	6	0
NA07357	unknown	1	0
NA10847	unknown	7	0
NA10851	unknown	4	0
NA11829	CEU	2	0
NA11830	unknown	8	0
NA11831	CEU	7	0
NA11832	CEU	8	0
NA11840	unknown	5	0
NA11843	CEU	1	0
NA11894	CEU	5	0
NA11920	unknown	6	0
NA12004	unknown	2	0
NA12044	unknown	7	0
NA12154	unknown	8	0
NA12234	CEU	0	0
NA12489	CEU	3	0
NA12751	unknown	5	0
NA12763	CEU	4	0
NA12775	CEU	1	0
NA12812	CEU	6	0
NA18486	YRI	1	0
NA18488	YRI	4	0
NA18489	YRI	6	0
NA18498	YRI	2	0
NA18499	YRI	3	0
NA18501	unknown	6	0
NA18502	unknown	0	0
NA18504	unknown	0	0
NA18505	unknown	1	0
NA18507	unknown	1	0
NA18508	unknown	3	0
NA18510	YRI	0	0
NA18511	YRI	5	0
NA18516	unknown	9	0
NA18517	unknown	5	0
NA18522	unknown	1	0
NA18523	unknown	5	0
NA18526	unknown	6	0
NA18530	unknown	2	0
NA18532	unknown	2	0
NA18534	unknown	2	0
NA18536	unknown	9	0
NA18537	unknown	4	0
NA18542	unknown	1	0
NA18543	unknown	3	0
NA18544	unknown	0	0
NA18545	unknown	8	0
NA18561	unknown	6	0
NA18562	unknown	0	0
NA18563	unknown	7	0
NA18564	unknown	1	0
NA18858	unknown	5	0
NA18861	unknown	0	0
NA19093	unknown	3	0
NA19099	unknown	4	0
NA19116	unknown	3	0
NA19119	unknown	3	0
NA19129	unknown	4	0
NA19130	unknown	0	0
NA19131	unknown	9	0
NA19152	unknown	5	0
NA19153	unknown	4	0
NA19209	unknown	6	0
NA19210	unknown	6	0
NA19238	unknown	5	0
NA19239	unknown	2	0
NA20502	unknown	7	0
NA20503	TSI	3	0
NA20504	unknown	7	0
NA20505	unknown	0	0
NA20506	unknown	8	0
NA20507	TSI	1	0
NA20508	unknown	8	0
NA20509	unknown	4	0
NA20510	unknown	1	0
NA20512	unknown	6	0
NA20513	TSI	4	0
NA20514	TSI	2	0
NA20515	TSI	5	0
NA20516	TSI	0	0
NA20519	unknown	3	0
NA20521	unknown	8	0
NA20528	unknown	9	0
