outer_fold	modality	n_train_subjects	n_test_subjects	champion_A	champion_B	champion_C	best_single_tool	cc_support	cc_margin	cc_min_tools	floor_routing_json
0	wgs	121	16	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
0	wes	115	15	OptiType	OptiType	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
0	rnaseq	95	12	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
1	wgs	121	16	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
1	wes	115	15	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.5	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
1	rnaseq	95	12	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
2	wgs	122	15	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
2	wes	116	14	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
2	rnaseq	97	10	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.65	0.2	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
3	wgs	122	15	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
3	wes	115	15	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
3	rnaseq	93	14	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
4	wgs	122	15	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
4	wes	115	15	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
4	rnaseq	94	13	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.65	0.2	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
5	wgs	122	15	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
5	wes	116	14	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
5	rnaseq	95	12	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
6	wgs	124	13	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
6	wes	118	12	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
6	rnaseq	98	9	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
7	wgs	126	11	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
7	wes	121	9	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
7	rnaseq	100	7	OptiType	ArcasHLA	ArcasHLA	HLA-HD	0.35	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
8	wgs	126	11	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""cc"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
8	wes	119	11	OptiType	OptiType	POLYSOLVER	OptiType	0.35	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
8	rnaseq	98	9	OptiType	ArcasHLA	ArcasHLA	OptiType	0.5	0.0	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
9	wgs	127	10	OptiType	OptiType	T1K	OptiType	0.65	0.2	1	"{""clear_majority"": ""mv"", ""single_tool"": ""mv"", ""split"": ""cc"", ""unanimous"": ""mv""}"
9	wes	120	10	OptiType	POLYSOLVER	POLYSOLVER	OptiType	0.5	0.0	1	"{""clear_majority"": ""mv"", ""split"": ""mv"", ""unanimous"": ""mv""}"
