source_role	original_path	copied_path	source_git_state
source_manuscript	/mnt/d/Users/uonur/Downloads/ChatGPT_Bioinformatics_ChampHLA_Manuscript_V5x_reviewfix.docx	manuscripts/source_original/ChatGPT_Bioinformatics_ChampHLA_Manuscript_V5x_reviewfix.docx	not_version_controlled
confirmation_status	/mnt/d/projects/project_2008084/champhla_cc_confirmation/IMPLEMENTATION_STATUS.md	provenance/source_reports/confirmation_implementation_status.md	not_a_git_repository
egcc_report	/mnt/d/projects/project_2008084/champhla_egcc_pilot/FINAL_REPORT.md	provenance/source_reports/egcc_final_report.md	not_a_git_repository
simple_consensus_report	/mnt/d/projects/project_2008084/champhla_egcc_pilot/SIMPLE_CONSENSUS_PUBLICATION_NOTE.md	provenance/source_reports/simple_consensus_publication_note.md	not_a_git_repository
refformer_report	/mnt/d/projects/project_2008084/champhla_refformer/artifacts/publication_assessment/publication_assessment.md	provenance/source_reports/refformer_publication_assessment.md	not_a_git_repository
baseline_ladder_findings	/mnt/d/projects/project_2008084/champhla_baseline_ladder/outputs/LADDER_FINDINGS.md	provenance/source_reports/baseline_ladder_findings.md	dirty_preserved
baseline_ladder_result	/mnt/d/projects/project_2008084/champhla_baseline_ladder/outputs/SIGNIFICANT_RESULT.md	provenance/source_reports/baseline_ladder_significant_result.md	dirty_preserved
primary_results	/mnt/d/projects/project_2008084/champhla_cc_confirmation/discovery/final_policy_check/evaluation/primary_modality_results.tsv	artifacts/source_results/primary_modality_results.tsv	not_a_git_repository
confirmation_decision	/mnt/d/projects/project_2008084/champhla_cc_confirmation/discovery/final_policy_check/evaluation/confirmation_decision.json	artifacts/source_results/confirmation_decision.json	not_a_git_repository
egcc_decision	/mnt/d/projects/project_2008084/champhla_egcc_pilot/artifacts/final_internal_decision.json	artifacts/source_results/final_internal_decision.json	not_a_git_repository
metaconsensus_decision	/mnt/d/projects/project_2008084/champhla_refformer/runs/metaconsensus_population_stratified/decision_gate.json	artifacts/source_results/metaconsensus_decision_gate.json	not_a_git_repository
publication_assessment	/mnt/d/projects/project_2008084/champhla_refformer/artifacts/publication_assessment/publication_assessment.json	artifacts/source_results/publication_assessment.json	not_a_git_repository
