subject	population	primary_eligible	complete_truth_available	exact_truth_loci	source_record_count	eligibility_reason	truth_source_sha256
HG00096	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00097	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00098	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00099	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00100	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00101	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00102	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00103	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00104	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00105	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00106	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00107	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00108	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00109	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00110	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00111	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00112	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00113	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00114	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00115	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00116	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00117	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00118	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00119	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00120	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00121	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00122	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00123	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00124	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00125	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00126	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00127	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00128	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00129	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00130	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00131	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00132	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00133	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00134	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00135	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00136	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00137	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00138	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00139	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00140	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00141	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00142	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00143	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00145	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00146	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00148	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00149	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00150	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00151	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00152	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00154	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00155	GBR	1	0	2	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00156	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00157	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00158	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00159	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00160	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00171	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00173	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00174	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00176	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00177	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00178	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00179	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00180	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00181	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00182	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00183	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00185	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00186	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00187	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00188	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00189	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00190	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00231	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00232	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00233	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00234	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00235	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00236	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00237	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00238	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00239	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00240	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00242	GBR	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
